"FORUM_BBS_NO","FORUM_CATEGORY_CODE","RGST_DATE","RGST_USER_NO","RGST_USER_ID","UPDT_DATE","UPDT_USER_NO","UPDT_USER_ID","DEL_YN"
123,TRNC_RND,2023-10-27 02:14:25.383,"10144464",jaeholee2,2023-10-27 02:14:25.383,"10144464",jaeholee2,N
123,TRNC_TECH,2023-10-27 02:14:25.383,"10144464",jaeholee2,2023-10-27 02:14:25.383,"10144464",jaeholee2,N
124,TRNC_PROD,2023-10-28 15:41:17.630,"07004883",shindm,2023-10-28 15:41:17.630,"07004883",shindm,N
124,TRNC_RND,2023-10-28 15:41:17.630,"07004883",shindm,2023-10-28 15:41:17.630,"07004883",shindm,N
124,TRNC_TECH,2023-10-28 15:41:17.630,"07004883",shindm,2023-10-28 15:41:17.630,"07004883",shindm,N
125,TRNC_ETC,2023-10-30 15:30:42.260,"00223171",jaewanpark,2023-10-30 15:30:42.260,"00223171",jaewanpark,N
126,TRNC_RND,2023-10-31 11:43:21.943,"07000545",minquo,2023-10-31 11:43:21.943,"07000545",minquo,N
127,TRNC_RND,2023-11-03 15:55:19.073,"07003176",juyeon3017,2023-11-03 15:55:19.073,"07003176",juyeon3017,N
128,TRNC_RND,2023-11-09 17:29:05.510,"07003511",minjoy,2023-11-09 17:29:05.510,"07003511",minjoy,N
129,TRNC_RND,2023-11-14 15:17:40.433,"07000545",minquo,2023-11-14 15:17:40.433,"07000545",minquo,N
130,TRNC_RND,2023-11-28 14:55:32.603,"00230524",reo.kim,2023-11-28 14:55:32.603,"00230524",reo.kim,N
130,TRNC_TECH,2023-11-28 14:55:32.603,"00230524",reo.kim,2023-11-28 14:55:32.603,"00230524",reo.kim,N
131,TRNC_RND,2023-11-28 17:03:53.907,"00229792",billionaire,2023-11-28 17:03:53.907,"00229792",billionaire,N
131,TRNC_TECH,2023-11-28 17:03:53.907,"00229792",billionaire,2023-11-28 17:03:53.907,"00229792",billionaire,N
132,TRNC_NFF,2023-11-29 13:33:33.767,"00230358",lks0331,2023-11-29 13:33:33.767,"00230358",lks0331,N
132,TRNC_RND,2023-11-29 13:33:33.767,"00230358",lks0331,2023-11-29 13:33:33.767,"00230358",lks0331,N
133,TRNC_PROD,2023-12-01 09:16:44.630,"07003472",kjh22,2023-12-01 10:50:58.437,"07003472",kjh22,N
